BOROUGH,ZIP_CODE,LATITUDE_CRASH,LONGITUDE_CRASH,ON_STREET_NAME,CROSS_STREET_NAME,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE_1,CONTRIBUTING_FACTOR_VEHICLE_2,COLLISION_ID,VEHICLE_TYPE_CODE_1,VEHICLE_TYPE_CODE_2,STATION,LATITUDE_WEATHER_STATION,LONGITUDE_WEATHER_STATION,DISTANCE_FROM_WEATHER_STATION,NAME,ELEVATION,PRCP,SNOW,SNWD,TMAX,TMIN,CRASH_DATETIME,YEAR,MONTH,DAY,HOUR,VEHICLE_TYPE_CODE_1_REGROUP,VEHICLE_TYPE_CODE_2_REGROUP,RUSH_HOUR,SEASON
BROOKLYN,11230,40.62179,-73.970024,OCEAN PARKWAY,AVENUE K,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4675373,Moped,Sedan,US1NYKN0059,40.65968,-73.982799,0.039985656,"BROOKLYN 2.4 WSW, NY US",51.8,0.01,0.041763326,0.013489453,55.21745631,41.78116588,11/1/2023 1:29,2023,11,1,1,Motorcycles and Scooters,Passenger Car,0,Fall
BROOKLYN,11208,40.667202,-73.8665,MISSING,MISSING,0,0,0,0,0,0,0,0,Unspecified,MISSING,4456314,Sedan,MISSING,US1NYQN0033,40.662099,-73.841345,0.025667385,"HOWARD BEACH 0.4 NNW, NY US",2.1,0,0,0.001627545,82.3920345,64.35737048,9/11/2021 9:35,2021,9,11,9,Passenger Car,Unknown Vehicle,1,Fall
BROOKLYN,11233,40.683304,-73.917274,SARATOGA AVENUE,DECATUR STREET,0,0,0,0,0,0,0,0,MISSING,MISSING,4486609,MISSING,MISSING,US1NYKN0025,40.6846,-73.9867,0.069438095,"BROOKLYN 3.1 NW, NY US",5.5,0,0,0,44.32838216,33.81917739,12/14/2021 8:13,2021,12,14,8,Unknown Vehicle,Unknown Vehicle,1,Winter
MISSING,11249,40.709183,-73.956825,BROOKLYN QUEENS EXPRESSWAY,MISSING,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4486555,Sedan,Tractor Truck Diesel,US1NYKN0025,40.6846,-73.9867,0.03868901,"BROOKLYN 3.1 NW, NY US",5.5,0,0,0,44.32838216,33.81917739,12/14/2021 17:05,2021,12,14,17,Passenger Car,Unknown Vehicle,1,Winter
BRONX,10475,40.86816,-73.83148,MISSING,MISSING,2,0,0,0,0,0,2,0,Unspecified,Unspecified,4486660,Sedan,Sedan,USW00014732,40.77945,-73.88027,0.101241929,"LAGUARDIA AIRPORT, NY US",3,0,0,0,54,44,12/14/2021 8:17,2021,12,14,8,Passenger Car,Passenger Car,1,Winter
BROOKLYN,11207,40.67172,-73.8971,MISSING,MISSING,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,4487074,Sedan,MISSING,US1NYQN0033,40.662099,-73.841345,0.056579004,"HOWARD BEACH 0.4 NNW, NY US",2.1,0,0,0.131869076,44.32838216,33.81917739,12/14/2021 21:10,2021,12,14,21,Passenger Car,Unknown Vehicle,0,Winter
MANHATTAN,10017,40.75144,-73.97397,3 AVENUE,EAST 43 STREET,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4486519,Sedan,Station Wagon/Sport Utility Vehicle,USW00094728,40.77898,-73.96925,0.027941546,"NY CITY CENTRAL PARK, NY US",42.7,0,0,0,53,44,12/14/2021 14:58,2021,12,14,14,Passenger Car,Unknown Vehicle,0,Winter
MISSING,11385,40.701275,-73.88887,MYRTLE AVENUE,MISSING,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,4486934,Station Wagon/Sport Utility Vehicle,MISSING,US1NYQN0033,40.662099,-73.841345,0.061590459,"HOWARD BEACH 0.4 NNW, NY US",2.1,0,0,0.131869076,44.32838216,33.81917739,12/13/2021 0:34,2021,12,13,0,Unknown Vehicle,Unknown Vehicle,0,Winter
QUEENS,11413,40.675884,-73.75577,SPRINGFIELD BOULEVARD,EAST GATE PLAZA,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,4487127,Sedan,Station Wagon/Sport Utility Vehicle,USW00094789,40.63915,-73.7639,0.037622914,"JFK INTERNATIONAL AIRPORT, NY US",2.7,0,0,0,54,38,12/14/2021 16:50,2021,12,14,16,Passenger Car,Unknown Vehicle,1,Winter
MISSING,11214,40.59662,-74.00231,BELT PARKWAY,MISSING,0,0,0,0,0,0,0,0,Unsafe Speed,MISSING,4486564,Sedan,MISSING,US1NYKN0025,40.6846,-73.9867,0.089354085,"BROOKLYN 3.1 NW, NY US",5.5,0,0,0,44.32838216,33.81917739,12/14/2021 0:59,2021,12,14,0,Passenger Car,Unknown Vehicle,0,Winter
QUEENS,11434,40.66684,-73.78941,NORTH CONDUIT AVENUE,150 STREET,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,Unspecified,4486635,Sedan,Sedan,USW00094789,40.63915,-73.7639,0.037649651,"JFK INTERNATIONAL AIRPORT, NY US",2.7,0,0,0,54,38,12/14/2021 23:10,2021,12,14,23,Passenger Car,Passenger Car,0,Winter
BROOKLYN,11217,40.68158,-73.97463,MISSING,MISSING,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4486604,Tanker,Station Wagon/Sport Utility Vehicle,US1NYKN0025,40.6846,-73.9867,0.012442078,"BROOKLYN 3.1 NW, NY US",5.5,0,0,0,44.32838216,33.81917739,12/14/2021 17:58,2021,12,14,17,Unknown Vehicle,Unknown Vehicle,1,Winter
BROOKLYN,11226,40.65068,-73.95881,MISSING,MISSING,4,0,0,0,0,0,4,0,Steering Failure,MISSING,4486991,Sedan,MISSING,US1NYKN0025,40.6846,-73.9867,0.043913762,"BROOKLYN 3.1 NW, NY US",5.5,0,0,0,44.32838216,33.81917739,12/14/2021 20:03,2021,12,14,20,Passenger Car,Unknown Vehicle,0,Winter
BRONX,10463,40.87262,-73.904686,WEST KINGSBRIDGE ROAD,HEATH AVENUE,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4487040,Station Wagon/Sport Utility Vehicle,Sedan,US1NJBG0003,40.91467,-73.9775,0.084083774,"TENAFLY 1.3 W, NJ US",21.6,0.07,0.083387086,0.013122447,51.50453937,40.24844967,12/11/2021 19:43,2021,12,11,19,Unknown Vehicle,Passenger Car,1,Winter
MISSING,11354,40.783268,-73.82485,WHITESTONE EXPRESSWAY,MISSING,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,4486537,Station Wagon/Sport Utility Vehicle,Sedan,USW00014732,40.77945,-73.88027,0.055551359,"LAGUARDIA AIRPORT, NY US",3,0,0,0,54,44,12/14/2021 14:30,2021,12,14,14,Unknown Vehicle,Passenger Car,0,Winter
MANHATTAN,10001,40.748917,-73.993546,MISSING,MISSING,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,4486905,Station Wagon/Sport Utility Vehicle,MISSING,USW00094728,40.77898,-73.96925,0.038653326,"NY CITY CENTRAL PARK, NY US",42.7,0.17,0,0,66,45,12/11/2021 4:45,2021,12,11,4,Unknown Vehicle,Unknown Vehicle,0,Winter
MISSING,11364,40.744644,-73.77041,LONG ISLAND EXPRESSWAY,MISSING,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,4487122,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,US1NYQN0029,40.748246,-73.765371,0.006194023,"QUEENS 2.1 NE, NY US",24.7,0.01,0.041763326,0.131869076,51.50453937,40.24844967,12/14/2021 5:46,2021,12,14,5,Unknown Vehicle,Unknown Vehicle,0,Winter
QUEENS,11372,40.75373,-73.88505,82 STREET,34 AVENUE,0,0,0,0,0,0,0,0,Unspecified,MISSING,4486967,Sedan,MISSING,USW00014732,40.77945,-73.88027,0.026160405,"LAGUARDIA AIRPORT, NY US",3,0,0,0,54,42,12/13/2021 6:30,2021,12,13,6,Passenger Car,Unknown Vehicle,1,Winter
MISSING,10035,40.804375,-73.93742,LEXINGTON AVENUE,MISSING,1,0,1,0,0,0,0,0,Unspecified,MISSING,4486304,Station Wagon/Sport Utility Vehicle,MISSING,USW00094728,40.77898,-73.96925,0.040719221,"NY CITY CENTRAL PARK, NY US",42.7,0,0,0,53,44,12/14/2021 3:43,2021,12,14,3,Unknown Vehicle,Unknown Vehicle,0,Winter
STATEN ISLAND,10301,40.63165,-74.08762,VICTORY BOULEVARD,WOODSTOCK AVENUE,1,0,0,0,0,0,1,0,Unspecified,Unspecified,4487001,Sedan,Sedan,US1NYRC0016,40.615654,-74.145561,0.060108498,"STATEN ISLAND 2.6 N, NY US",11.3,0,0,0.131869076,44.32838216,33.81917739,12/13/2021 17:40,2021,12,13,17,Passenger Car,Passenger Car,1,Winter
BROOKLYN,11230,40.623104,-73.95809,EAST 18 STREET,AVENUE K,1,0,1,0,0,0,0,0,Unspecified,MISSING,4486516,Sedan,MISSING,US1NYKN0025,40.6846,-73.9867,0.067825439,"BROOKLYN 3.1 NW, NY US",5.5,0,0,0,44.32838216,33.81917739,12/14/2021 17:31,2021,12,14,17,Passenger Car,Unknown Vehicle,1,Winter
BROOKLYN,11215,40.66576,-73.9845,MISSING,MISSING,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,4486605,Sedan,MISSING,US1NYKN0025,40.6846,-73.9867,0.018968015,"BROOKLYN 3.1 NW, NY US",5.5,0,0,0,44.32838216,33.81917739,12/14/2021 20:13,2021,12,14,20,Passenger Car,Unknown Vehicle,0,Winter
BROOKLYN,11217,40.687534,-73.9775,FULTON STREET,SAINT FELIX STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,4487052,Sedan,Bike,US1NYKN0025,40.6846,-73.9867,0.009656519,"BROOKLYN 3.1 NW, NY US",5.5,0,0,0,44.32838216,33.81917739,12/14/2021 12:54,2021,12,14,12,Passenger Car,Unknown Vehicle,0,Winter
BROOKLYN,11211,40.710957,-73.951126,GRAND STREET,UNION AVENUE,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,4486556,Bus,Station Wagon/Sport Utility Vehicle,US1NYKN0025,40.6846,-73.9867,0.044274156,"BROOKLYN 3.1 NW, NY US",5.5,0,0,0,44.32838216,33.81917739,12/14/2021 17:15,2021,12,14,17,Buses and Emergency Vehicles,Unknown Vehicle,1,Winter
BRONX,10455,40.81813,-73.910126,MISSING,MISSING,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4486875,Taxi,MISSING,USW00014732,40.77945,-73.88027,0.048862287,"LAGUARDIA AIRPORT, NY US",3,0,0,0,54,44,12/14/2021 22:49,2021,12,14,22,Taxis and Commercial Passenger Vehicles,Unknown Vehicle,0,Winter
