ZIP_CODE,pop_density_meters,population,population_error,land_area_sq_meter,land_area_error,ZCTA
00601,82.1170731707317,16834.0,506.0,205.0,112.0,00601
00602,294.078125,37642.0,205.0,128.0,77.0,00602
00603,29.545454545454547,49075.0,963.0,1661.0,257.0,00603
00606,39.09090909090909,5590.0,264.0,143.0,76.0,00606
00610,277.6304347826087,25542.0,344.0,92.0,46.0,00610
00611,59.77272727272727,1315.0,382.0,22.0,34.0,00611
00612,95.20601503759399,63312.0,1805.0,665.0,163.0,00612
00616,75.1953125,9625.0,1319.0,128.0,78.0,00616
00617,199.76106194690266,22573.0,241.0,113.0,80.0,00617
00622,59.1953125,7577.0,979.0,128.0,85.0,00622
00623,103.9736147757256,39406.0,979.0,379.0,143.0,00623
00624,116.38709677419355,21648.0,516.0,186.0,77.0,00624
00627,215.34868421052633,32733.0,-555555555.0,152.0,78.0,00627
00631,95.4,1431.0,408.0,15.0,17.0,00631
00636,0.0,1057.0,471.0,0.0,15.0,00636
00637,190.68333333333334,22882.0,222.0,120.0,55.0,00637
00638,153.08695652173913,17605.0,298.0,115.0,52.0,00638
00641,80.72757475083057,24299.0,640.0,301.0,112.0,00641
00646,121.78305084745763,35926.0,150.0,295.0,123.0,00646
00647,72.33846153846154,4702.0,620.0,65.0,42.0,00647
00650,143.40625,13767.0,572.0,96.0,77.0,00650
00652,170.6086956521739,3924.0,789.0,23.0,37.0,00652
00653,219.02439024390245,8980.0,620.0,41.0,35.0,00653
00656,68.64015151515152,18121.0,453.0,264.0,102.0,00656
00659,95.2853470437018,37066.0,441.0,389.0,146.0,00659
00660,34.406666666666666,15483.0,55.0,450.0,183.0,00660
00662,138.1569965870307,40480.0,795.0,293.0,117.0,00662
00664,60.84146341463415,14967.0,194.0,246.0,103.0,00664
00667,96.5702479338843,23370.0,286.0,242.0,128.0,00667
00669,133.6359223300971,27529.0,479.0,206.0,80.0,00669
00670,61.16083916083916,8746.0,125.0,143.0,79.0,00670
00674,150.32442748091603,39385.0,347.0,262.0,111.0,00674
00676,78.04893617021277,36683.0,461.0,470.0,202.0,00676
00677,695.6363636363636,15304.0,137.0,22.0,19.0,00677
00678,108.39393939393939,25039.0,557.0,231.0,121.0,00678
00680,19.63301500682128,43173.0,1524.0,2199.0,285.0,00680
00682,35.44755244755245,30414.0,1433.0,858.0,160.0,00682
00683,54.016453382084094,29547.0,545.0,547.0,154.0,00683
00685,92.32494279176201,40346.0,740.0,437.0,153.0,00685
00687,272.9428571428571,28659.0,-555555555.0,105.0,67.0,00687
00688,94.85950413223141,11478.0,1216.0,121.0,67.0,00688
00690,0.0,5781.0,969.0,0.0,21.0,00690
00692,197.0532544378698,33302.0,723.0,169.0,93.0,00692
00693,137.8908188585608,55570.0,789.0,403.0,135.0,00693
00694,8.909090909090908,98.0,94.0,11.0,17.0,00694
00698,108.4336569579288,33506.0,452.0,309.0,108.0,00698
00703,76.96540880503144,24475.0,551.0,318.0,132.0,00703
00704,46.78767123287671,6831.0,872.0,146.0,82.0,00704
00705,74.84969325153374,24401.0,142.0,326.0,117.0,00705
00707,94.47747747747748,10487.0,90.0,111.0,80.0,00707
00714,112.0354609929078,15797.0,-555555555.0,141.0,113.0,00714
00715,32.38095238095238,2040.0,639.0,63.0,40.0,00715
00716,95.99293286219081,27166.0,1925.0,283.0,101.0,00716
00717,22.80576631259484,15029.0,1401.0,659.0,159.0,00717
00718,127.96153846153847,23289.0,90.0,182.0,145.0,00718
00719,132.98648648648648,29523.0,252.0,222.0,111.0,00719
00720,247.8095238095238,20816.0,222.0,84.0,56.0,00720
00723,726.2727272727273,15978.0,98.0,22.0,35.0,00723
00725,69.52655265526553,77244.0,2491.0,1111.0,252.0,00725
00727,178.71812080536913,53258.0,2310.0,298.0,135.0,00727
00728,196.8877551020408,38590.0,2070.0,196.0,78.0,00728
00729,133.59217877094972,47826.0,811.0,358.0,128.0,00729
00730,43.66305818673884,32267.0,1621.0,739.0,173.0,00730
00731,115.08791208791209,10473.0,1150.0,91.0,77.0,00731
00735,1014.9090909090909,11164.0,124.0,11.0,18.0,00735
00736,91.36852589641434,45867.0,903.0,502.0,147.0,00736
00738,148.24137931034483,30093.0,576.0,203.0,93.0,00738
00739,139.2690763052209,34678.0,933.0,249.0,115.0,00739
00740,156.46153846153845,2034.0,571.0,13.0,22.0,00740
00741,0.0,3627.0,695.0,0.0,15.0,00741
00745,140.5147928994083,47494.0,339.0,338.0,111.0,00745
00751,38.0,19570.0,893.0,515.0,157.0,00751
00754,211.42196531791907,36576.0,396.0,173.0,72.0,00754
00757,97.32038834951456,20048.0,145.0,206.0,100.0,00757
00765,37.61009174311926,8199.0,-555555555.0,218.0,124.0,00765
00766,158.6546762589928,22053.0,64.0,139.0,78.0,00766
00767,145.18396226415095,30779.0,248.0,212.0,85.0,00767
00769,68.61077844311377,34374.0,239.0,501.0,140.0,00769
00771,164.15023474178403,34964.0,652.0,213.0,117.0,00771
00772,115.44,17316.0,695.0,150.0,66.0,00772
00773,53.041916167664674,17716.0,-555555555.0,334.0,125.0,00773
00775,69.76470588235294,1186.0,190.0,17.0,17.0,00775
00777,116.43827160493827,37726.0,448.0,324.0,142.0,00777
00778,95.91469194312796,40476.0,107.0,422.0,214.0,00778
00780,309.06666666666666,13908.0,1849.0,45.0,70.0,00780
00782,122.625,18639.0,475.0,152.0,80.0,00782
00783,96.0814606741573,34205.0,345.0,356.0,131.0,00783
00784,94.27034120734908,35917.0,271.0,381.0,166.0,00784
00786,0.0,154.0,142.0,0.0,15.0,00786
00791,124.76407506702412,46537.0,911.0,373.0,125.0,00791
00794,164.73837209302326,28335.0,450.0,172.0,91.0,00794
00795,84.11764705882354,42900.0,906.0,510.0,177.0,00795
00901,46.70454545454545,8220.0,723.0,176.0,79.0,00901
00906,0.0,148.0,108.0,0.0,15.0,00906
00907,15.477166821994409,16607.0,1212.0,1073.0,236.0,00907
